feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,target
2.8287387933988777,86,8.904649407081756,2.8356271973293055,20,5.360303737819853,4.494832916894011,41,-6.481614323823495,2.352567938969558,0
6.994690893167172,16,8.185412002935223,5.821089488221702,28,-9.100559122923515,4.66495881129097,53,5.75937975690506,3.5589158215410075,0
5.565956996103984,68,-1.6805199866985312,6.344112994942593,63,-7.648179141696869,3.040342525476656,91,-2.5101163404009004,4.155710914461122,1
1.987410572163816,73,4.0745829160205105,5.247777431945533,52,-2.0797990499387575,3.8432754994715124,30,-2.6033015921802,3.83778997246609,0
3.842799496062927,17,-3.286897206389763,3.9383296339331726,63,4.561735514627905,8.417310855125928,13,-3.726626309434888,6.729831501263188,0
8.302873074194302,58,0.7971253831046532,4.224128658246268,20,-3.458734783211632,3.1668094426234847,0,9.23708966736275,5.539577950290667,0
0.14664151321385166,51,-5.058677489929515,8.03329338157576,65,4.3606975374936425,5.412952717013287,90,-9.160423052145974,7.228464729953024,0
4.142174742287645,86,4.3531271065518595,3.657382902002609,70,-8.71999239689214,6.712524550218623,60,0.4043164445753291,4.325472676788118,0
7.531872517411069,91,-8.19457389076561,4.463098731185003,3,1.9427117861760745,2.6816630326227555,9,5.184261253159308,3.2102288032840725,0
3.2665191954697965,20,4.7305395134944455,1.027957607353526,39,-9.382206025445646,7.050679488847061,79,6.711065648948555,5.589359820035616,0
3.6422276967558913,75,-6.702967467662184,3.95848708421492,79,-9.498975025498495,1.8691667765903777,48,0.8248758833928971,8.863373781325478,0
4.810582062126218,65,-3.4622917190873936,4.949731607237797,48,-5.177393228836024,1.1875172141077255,49,5.366566098897225,8.039396758733783,0
7.982779252248576,52,-2.3029072291784054,5.266064685304917,45,5.675103586343376,1.6849067585699005,14,9.469649591383074,6.1161197150248405,0
3.722196006630698,38,-2.4848238421698916,3.4720650236699866,32,-5.775724640555122,4.848841662276735,74,1.0528995155846452,1.5526637159379932,0
4.112036080707869,23,-2.3842513526427105,7.99898416464477,81,-4.2745289116209655,3.3750169247453727,30,-3.1014544103471398,3.4541870828984877,0
4.1312974487629655,8,3.2011123028258517,1.8470047966893555,14,6.801259675736837,3.8459750897190137,46,9.903842701033227,3.7867945773501637,0
9.41186016545091,53,-0.7780969537964353,8.953609010064387,82,-7.200934563841681,5.445823019239412,48,7.252756177544338,6.97477877837856,1
9.373572177947572,24,-1.6382649284207869,1.440221864918663,27,-7.47074402966299,5.594084865326191,17,-2.977274512791026,10.587104446380295,0
7.008107795757754,72,7.850398714614229,2.7242447097589895,14,4.391535284149297,3.65962670209881,77,7.5219973034987895,3.42850918164301,0
5.772372798349712,23,8.392548316450462,2.158649877538789,33,2.8073134670005793,2.6973519361596368,75,5.696028581964381,4.084742737095275,0
6.4747371517924845,14,2.1224432734722,3.869635431697213,51,-3.3856847221092075,3.0425207669681082,75,3.3531844416135232,6.440737070413407,0
7.981464056301598,22,1.229872325431705,8.317507521604412,10,9.234154761693244,6.939505996137251,84,1.9987863403198265,6.25987238558521,0
3.128332263195217,17,2.7078770711216684,4.455862354978622,88,3.5855721304286448,3.0149635033188904,53,-8.230202112223228,3.5285853767540667,0
7.351658089564207,93,6.495071600069949,7.4563823939080836,16,0.9925804833768144,3.435423266266246,22,5.028511802894766,5.937676528324298,0
2.492238664501975,8,6.030649338075104,1.0548607263435779,19,-5.3158997648163115,6.043216639558631,88,-6.637527416488254,8.74571644613097,0
3.7244969950931797,91,5.750568937787895,6.260053469875146,70,-9.288303575390968,6.600245817015355,39,5.573537480298771,2.0483500890170636,0
6.814210391600603,89,-0.89807076984326,5.823388624410247,12,3.7478432430853488,2.770075057388675,35,4.5113580001621685,4.543895391984884,0
